"引脚号","引脚名（标准） [1]_ ","引脚名（QuecOpen） [2]_ ","功能 1 [3]_ ",功能 2,功能 3,功能 4,功能 5
"40","SPI_CLK","SPI_CLK","GPIO10",,,,
"41","I2C_SCL","I2C_SCL",,,I2C0_SCL,,
"42","I2C_SDA","I2C_SDA","GPIO35",,I2C0_SDA,,
"43","ADC2","ADC2",,,,ADC2,
"44","ADC1","ADC1",,,,ADC1,
"45","ADC0","ADC0",,,,ADC0,
"46","GND","GND",,,,,
"47","ANT_GNSS","ANT_GNSS",,,,,
"48","GND","GND",,,,,
"49","ANT_MAIN","ANT_MAIN",,,,,
"50","GND","GND",,,,,
"51","GND","GND",,,,,
"52","GND","GND",,,,,
"53","GND","GND",,,,,
"54","GND","GND",,,,,
"55","RESERVED","RESERVED",,,,,
"56","GND","GND",,,,,
"57","VBAT_RF","VBAT_RF",,,,,
"58","VBAT_RF","VBAT_RF",,,,,
"59","VBAT_BB","VBAT_BB",,,,,
"60","VBAT_BB","VBAT_BB",,,,,
"61","STATUS","STATUS","GPIO42",,,,
"62","MAIN_RI","MAIN_RI","GPIO43",,,,
"63","MAIN_DCD","MAIN_DCD","GPIO44",,,,
"64","MAIN_CTS","MAIN_CTS","GPIO19",,,,
"65","MAIN_RTS","MAIN_RTS","GPIO18",,,,
"66","MAIN_DTR","MAIN_DTR","GPIO45",,,,
"67","MAIN_TXD","MAIN_TXD",,UART2_TXD,,,
"68","MAIN_RXD","MAIN_RXD",,UART2_RXD,,,
"69","USB_DP","USB_DP",,,,,
"70","USB_DM","USB_DM",,,,,
"71","USB_VBUS","USB_VBUS",,,,,
"72","GND","GND",,,,,
"73","LOUDSPK_P","LOUDSPK_P",,,,,
"74","LOUDSPK_N","LOUDSPK_N",,,,,
"75","MIC_P","MIC_P",,,,,
"76","GND","GND",,,,,
"77","MIC_N","MIC_N",,,,,
"78","KEYIN1","KEYIN1",,,,,
"79","KEYIN2","KEYIN2",,,,,
"80","KEYIN3","KEYIN3",,,,,
"81","RESERVED","KEYOUT4",,UART4_RXD,,,
"82","RESERVED","KEYOUT5",,UART4_TXD,,,
"83","KEYOUT0","KEYOUT0",,,,,
"84","KEYOUT1","KEYOUT1",,,,,
"85","GND","GND",,,,,
"86","GND","GND",,,,,
"87","GND","GND",,,,,
"88","GND","GND",,,,,
"89","GND","GND",,,,,
"90","GND","GND",,,,,
"91","GND","GND",,,,,
"92","GND","GND",,,,,
"93","GND","GND",,,,,
"94","GND","GND",,,,,
"95","GND","GND",,,,,
"96","GND","GND",,,,,
"97","GND","GND",,,,,
"98","GND","GND",,,,,
"99","GND","GND",,,,,
"100","GND","GND",,,,,
"101","GND","GND",,,,,
"102","GND","GND",,,,,
"103","GND","GND",,,,,
"104","GND","GND",,,,,
"105","GND","GND",,,,,
"106","GND","GND",,,,,
"107","GND","GND",,,,,
"108","GND","GND",,,,,
"109","GND","GND",,,,,
"110","GND","GND",,,,,
"111","GND","GND",,,,,
"112","GND","GND",,,,,
"113","KEYOUT2","KEYOUT2",,,,,
"114","KEYOUT3","KEYOUT3",,,,,
"115","USB_BOOT","USB_BOOT",,,,,
"116","RESERVED","RESERVED",,,,,
"117","RESERVED","CLK26M_AUX1",,,,,
"118","WLAN_SLP_CLK","WLAN_SLP_CLK",,,,,
"119","LCD_FMARK","LCD_FMARK","GPIO36",,,,
"120","LCD_RSTB","LCD_RSTB",,,,,
"121","LCD_SEL","LCD_SEL","GPIO17",,,,
"122","LCD_CS","LCD_CS","GPIO34",,,,
"123","LCD_CLK","LCD_CLK","GPIO33",,,,
"124","LCD_SDC","LCD_SDC","GPIO32",,,,
"125","LCD_SI/O","LCD_SI/O","GPIO31",,,,
"126","GPIO1","GPIO1","GPIO21",,,,
"127","WLAN_PWR_EN","WLAN_PWR_EN","GPIO22",,,,
"128","RESERVED","RESERVED",,,,,
"129","SDIO2_DATA3","SDIO2_DATA3","GPIO41",,,,
"130","SDIO2_DATA2","SDIO2_DATA2","GPIO40",,,,
"131","SDIO2_DATA1","SDIO2_DATA1","GPIO39",,SPI0_MISO,,
"132","SDIO2_DATA0","SDIO2_DATA0","GPIO38",,SPI0_MOSI,,
"133","SDIO2_CLK","SDIO2_CLK","GPIO8",,SPI0_CLK,,
"134","SDIO2_CMD","SDIO2_CMD","GPIO37",,SPI0_CS,,
"135","WLAN_WAKE","WLAN_WAKE","GPIO6",,,PWM0,
"136","WLAN_EN","WLAN_EN","GPIO7",,,,
"137","AUX_RXD","AUX_RXD",,UART1_RXD,,,
"138","AUX_TXD","AUX_TXD",,UART1_TXD,,,
"139","BT_EN","BT_EN","GPIO20",,,,
"140","ISINK","ISINK",,,,,
"141","I2C2_SCL","I2C2_SCL","GPIO15",,I2C1_SCL,,
"142","I2C2_SDA","I2C2_SDA","GPIO16",,I2C1_SDA,,
"143","GRFC1","GRFC1",,,,,
"144","GRFC2","GRFC2",,,,,
