"引脚号","引脚名（标准） [1]_ ","引脚名（QuecOpen） [2]_ ","功能 1 [3]_ ",功能 2,功能 3,功能 4,功能 5
"49","WAKEUP_IN","WAKEUP_IN","GPIO25",,,,
"50","AP_READY","AP_READY","GPIO26",,,,
"51","W_DISABLE#","W_DISABLE#","GPIO29",,,,
"52","NET_MODE","NET_MODE","GPIO28",,,,
"53","SLEEP_IND","SLEEP_IND","GPIO27",,,,
"54","NET_STATUS","NET_STATUS","GPIO14",,,,
"55","USB_BOOT","USB_BOOT",,,,,
"56","I2C_SDA","I2C_SDA","GPIO16",,I2C1_SDA,,
"57","I2C_SCL","I2C_SCL","GPIO15",,I2C1_SCL,,
"58","PCM_SYNC","PCM_SYNC","GPIO2",,SPI1_CS,,
"59","PCM_DIN","PCM_DIN","GPIO30",,SPI1_MOSI,,
"60","PCM_DOUT","PCM_DOUT","GPIO4",,SPI1_MISO,,
"61","PCM_CLK","PCM_CLK","GPIO1",,SPI1_CLK,,
"62","LCD_TE","LCD_TE","GPIO36",,,,
"63","LCD_SPI_RS","LCD_SPI_RS","GPIO32",,,,
"64","LCD_SPI_RST","LCD_RST",,,,,
"65","LCD_CS","LCD_SPI_CS","GPIO34",,,,
"66","LCD_SPI_DOUT","LCD_SPI_DOUT","GPIO31",,,,
"67","LCD_SPI_CLK","LCD_SPI_CLK","GPIO33",,,,
"68","CAM_VDDIO","CAM_VDDIO",,,,,
"69","RESERVED","GPIO1","GPIO5",,,,
"70","RESERVED","GPIO2","GPIO6",,,PWM0,
"71","DBG_TXD","DBG_TXD",,,,,
"72","DBG_RXD","DBG_RXD",,,,,
"73","GND","GND",,,,,
"74","PWRKEY","PWRKEY",,,,,
"75","RESET_N","RESET_N",,,,,
"76","VDD_EXT","VDD_EXT",,,,,
"77","GND","GND",,,,,
"78","GND","GND",,,,,
"79","GND","GND",,,,,
"80","GND","GND",,,,,
"81","GND","GND",,,,,
"82","GND","GND",,,,,
"83","GND","GND",,,,,
"84","GND","GND",,,,,
"85","GND","GND",,,,,
"86","GND","GND",,,,,
"87","GND","GND",,,,,
"88","GND","GND",,,,,
"89","GND","GND",,,,,
"90","GND","GND",,,,,
"91","GND","GND",,,,,
"92","GND","GND",,,,,
"93","HEADMIC_IN_DET","HEADMIC_IN_DET",,,,,
"94","AMP_VCOMP","AMP_VCOMP",,,,,
"95","SDIO2_DATA1","SDIO2_DATA1","GPIO38",,,,
"96","AP_26M_OUT","AP_26M_OUT",,,,,
"97","RESERVED","WLAN_SLP_CLK",,,,,
"98","RESERVED","SDIO2_DATA0","GPIO37",,,,
"99","RESERVED","SDIO2_CMD",,,,,
"100","RESERVED","SDIO2_DATA3","GPIO40",,,,
"101","ISENSE","ISENSE",,,,,
"102","VDRV","VDRV",,,,,
"103","KEYOUT5","KEYOUT5",,UART4_TXD,,,
"104","KEYOUT4","KEYOUT4",,UART4_RXD,,,
"105","KEYOUT0","KEYOUT0",,,,,
"106","KEYOUT1","KEYOUT1",,,,,
"107","KEYOUT2","KEYOUT2",,,,,
"108","KEYOUT3","KEYOUT3",,,,,
"109","LOUDSPK_P","LOUDSPK_P",,,,,
"110","LOUDSPK_N","LOUDSPK_N",,,,,
"111","HP_L","HP_L",,,,,
"112","HP_R","HP_R",,,,,
"113","ADC2","ADC2",,,,ADC2,
"114","ADC3","ADC3",,,,ADC3,
"115","VRTC","VRTC",,,,,
"116","PSM_EXT_INT","PSM_EXT_INT",,,,,
"117","FLSH_IB","FLSH_IB",,,,,
"118","RESERVED","SDIO2_CLK","GPIO8",,,,
"119","RESERVED","SDIO2_DATA2","GPIO39",,,,
"120","CAM_RST","CAM_RST","GPIO41",,,,
"121","UART2_CTS","UART2_CTS","GPIO21",,,,
"122","UART2_RTS","UART2_RTS","GPIO20",,,,
"123","UART2_RXD","UART2_RXD","GPIO7",UART1_RXD,,,
"124","UART2_TXD","UART2_TXD","GPIO19",UART1_TXD,,,
"125","KEYIN5","KEYIN5",,,,,
"126","KEYIN4","KEYIN4",,,,,
"127","KEYIN3","KEYIN3",,,,,
"128","KEYIN2","KEYIN2",,,,,
"129","KEYIN1","KEYIN1",,,,,
"130","GRFC2","GRFC2",,,,,
"131","GRFC1","GRFC1",,,,,
"132","RESERVED","SDIO1_CLK",,,,,
"133","RESERVED","SDIO_VDD",,,,,
"134","LCD_VDDIO","LCD_VDDIO",,,,,
"135","LCD_ISINK","LCD_ISINK",,,,,
"136","USIM2_VDD","USIM2_VDD",,,,,
"137","LCD_SEL","LCD_SEL","GPIO35",,,,
"138","LCD_AVDD","LCD_AVDD",,,,,
"139","USB_ID","USB_ID",,,,,
"140","HEADMIC_P","HEADMIC_P",,,,,
"141","HEADMIC_N","HEADMIC_N",,,,,
"142","HP_DET","HP_DET",,,,,
"143","HEADMIC_BIAS","HEADMIC_BIAS",,,,,
"144","NC","NC",,,,,
"145","USIM2_RST","USIM2_RST",,,,,
"146","USIM2_DATA","USIM2_DATA",,,,,
"147","USIM2_CLK","USIM2_CLK",,,,,
"148","USIM2_VDD","USIM2_VDD",,,,,
